NO.,NAMA KAPAL,CABANG,TANGGAL KEDATANGAN,TANGGAL KEBERANGKATAN,DARI,TUJUAN,,PENUMPANG TURUN,PENUMPANG NAIK,"JUMLAH
CREW"
294,VIKING ORION,BENOA,26/3/19,27/3/19,LEMBAR,SURABAYA,,877,922,461
295,MS. VIKING ORION,TANJUNG PERAK,28/3/19,28/3/19,SINGAPURA,SINGAPURA,,922,922,461
296,MS VIKING ORION,SEMARANG,29/3/19,29/3/19,TG. PERAK,TG. PRIOK,,922,922,461
297,EUROPA 2,BENOA,07/4/19,08/4/19,KOMODO,SEMARANG,,399,485,243
298,MV EUROPE 2,SEMARANG,10/4/19,10/4/19,BENOA,KARIMUNJAWA,,465,465,233
299,SEABOURN ENCORE,BENOA,12/4/19,13/4/19,SENGGIGI/LOMBOK,KOMODO,,547,551,276
300,MS SEABOURN ENCORE,CELUKAN BAWANG,16/4/19,16/4/19,PROBOLINGGO,P KOMODO,,552,552,276
301,MS. SEABOURN ENCORE,TANJUNG PERAK,18/4/19,18/4/19,PROBOLINGGO,SINGAPURA,,552,552,276
302,MS SEABOURN ENCORE,SEMARANG,19/4/19,19/4/19,TG. PERAK,SINGAPURA,,550,550,275
303,CRYSTAL SYMPHONY,BENOA,22/4/19,23/4/19,KOMODO,SINGAPORE,,663,660,330
304,MV. GENTING DREAM,TANJUNG PERAK,14/5/19,14/5/19,SINGAPURA,SINGAPURA,,"2,675","2,675","1,338"
305,MS GENTING DREAM,CELUKAN BAWANG,15/5/19,15/5/19,SURABAYA,SINGAPORE,,"2,665","2,665","1,333"
306,PANORAMA II,BENOA,30/5/19,15/6/19,LOMBOK,KERAMAT ISLAND,,-,39,20
307,PANORAMA II,BENOA,09/6/19,29/6/19,LOMBOK,KERAMAT ISLAND,,14,32,16
308,MV STAR CLIPPER,SEMARANG,16/6/19,16/6/19,KARIMUNJAWA,SUMENEP,,73,73,37
309,PANORAMA II,BENOA,22/6/19,22/6/19,LOMBOK,KERAMAT ISLAND,,39,16,8
